fournisseur,date_commande,categorie_produit,delai_prevu,delai_reel,prix,quantite
SUP_015,2024-01-01,alimentaire,7,7.0,3.12,12.0
SUP_016,2024-01-01,logistique,13,13.0,7.79,13.0
SUP_033,2024-01-01,alimentaire,5,5.0,2.94,35.0
SUP_018,2024-01-01,logistique,11,10.0,7.53,8.0
SUP_061,2024-01-01,alimentaire,2,2.0,2.91,6.0
SUP_033,2024-01-01,non_alimentaire,5,5.0,15.63,4.0
SUP_059,2024-01-01,logistique,10,10.0,7.82,11.0
SUP_050,2024-01-01,alimentaire,9,9.0,2.89,7.0
SUP_010,2024-01-01,logistique,15,16.0,7.47,34.0
SUP_028,2024-01-01,non_alimentaire,6,6.0,14.61,11.0
SUP_054,2024-01-01,logistique,5,8.0,7.29,20.0
SUP_038,2024-01-01,non_alimentaire,18,18.0,14.39,14.0
SUP_010,2024-01-01,alimentaire,9,12.0,2.75,4.0
SUP_007,2024-01-01,non_alimentaire,14,12.0,14.36,7.0
SUP_018,2024-01-01,non_alimentaire,12,9.0,14.37,22.0
SUP_061,2024-01-01,alimentaire,4,4.0,2.88,20.0
SUP_016,2024-01-01,non_alimentaire,10,10.0,13.82,2.0
SUP_078,2024-01-01,non_alimentaire,14,13.0,15.28,6.0
SUP_005,2024-01-01,non_alimentaire,10,10.0,15.4,14.0
SUP_039,2024-01-01,alimentaire,4,4.0,3.17,8.0
SUP_043,2024-01-01,alimentaire,2,2.0,2.98,29.0
SUP_040,2024-01-01,non_alimentaire,17,18.0,15.72,20.0
SUP_077,2024-01-01,logistique,5,5.0,8.27,14.0
SUP_077,2024-01-01,alimentaire,8,11.0,3.07,11.0
SUP_064,2024-01-01,non_alimentaire,6,6.0,14.6,4.0
SUP_050,2024-01-01,non_alimentaire,5,5.0,14.28,9.0
SUP_033,2024-01-01,non_alimentaire,10,10.0,16.08,13.0
SUP_013,2024-01-01,non_alimentaire,19,19.0,16.36,11.0
SUP_003,2024-01-01,non_alimentaire,7,9.0,15.22,12.0
SUP_076,2024-01-01,non_alimentaire,11,11.0,15.0,35.0
SUP_061,2024-01-02,alimentaire,6,6.0,2.96,2.0
SUP_016,2024-01-02,alimentaire,7,7.0,2.9,3.0
SUP_010,2024-01-02,non_alimentaire,15,15.0,14.3,
SUP_054,2024-01-02,non_alimentaire,11,13.0,17.1,6.0
SUP_073,2024-01-02,non_alimentaire,5,5.0,15.2,9.0
SUP_017,2024-01-02,alimentaire,5,5.0,2.84,10.0
SUP_021,2024-01-02,alimentaire,4,4.0,3.25,11.0
SUP_070,2024-01-02,alimentaire,3,3.0,2.25,7.0
SUP_024,2024-01-02,non_alimentaire,11,12.0,16.04,4.0
SUP_015,2024-01-02,alimentaire,3,3.0,2.94,6.0
SUP_056,2024-01-02,alimentaire,6,6.0,3.79,8.0
SUP_049,2024-01-02,alimentaire,3,3.0,3.16,12.0
SUP_049,2024-01-02,logistique,9,9.0,7.66,24.0
SUP_034,2024-01-02,non_alimentaire,18,24.0,16.5,11.0
SUP_008,2024-01-02,alimentaire,5,5.0,1.96,7.0
SUP_041,2024-01-02,alimentaire,5,5.0,2.85,25.0
SUP_023,2024-01-02,alimentaire,2,2.0,2.92,8.0
SUP_054,2024-01-02,logistique,13,13.0,8.24,11.0
SUP_066,2024-01-02,non_alimentaire,19,20.0,14.61,8.0
SUP_054,2024-01-02,non_alimentaire,13,15.0,11.72,12.0
SUP_016,2024-01-02,non_alimentaire,6,6.0,14.9,14.0
SUP_041,2024-01-02,alimentaire,3,3.0,2.85,12.0
SUP_035,2024-01-02,non_alimentaire,9,9.0,19.28,4.0
SUP_040,2024-01-02,logistique,7,7.0,8.09,11.0
SUP_015,2024-01-02,alimentaire,3,3.0,2.94,6.0
SUP_038,2024-01-02,alimentaire,6,4.0,3.14,5.0
SUP_071,2024-01-02,alimentaire,9,9.0,2.96,14.0
SUP_055,2024-01-02,alimentaire,3,3.0,2.97,15.0
SUP_012,2024-01-02,non_alimentaire,17,20.0,12.54,9.0
SUP_080,2024-01-02,non_alimentaire,10,10.0,14.6,24.0
SUP_063,2024-01-02,non_alimentaire,13,13.0,14.7,9.0
SUP_080,2024-01-02,non_alimentaire,15,15.0,14.89,2.0
SUP_021,2024-01-02,alimentaire,7,7.0,2.99,12.0
SUP_012,2024-01-02,non_alimentaire,8,11.0,15.18,22.0
SUP_080,2024-01-03,alimentaire,9,9.0,2.89,12.0
SUP_017,2024-01-03,alimentaire,7,7.0,2.88,4.0
SUP_018,2024-01-03,alimentaire,5,5.0,2.99,4.0
SUP_009,2024-01-03,non_alimentaire,19,19.0,13.15,5.0
SUP_055,2024-01-03,non_alimentaire,12,12.0,14.78,9.0
SUP_037,2024-01-03,alimentaire,4,4.0,3.08,7.0
SUP_001,2024-01-03,alimentaire,5,5.0,2.87,38.0
SUP_020,2024-01-03,logistique,14,14.0,7.94,9.0
SUP_072,2024-01-03,alimentaire,10,11.0,2.99,4.0
SUP_035,2024-01-03,non_alimentaire,7,7.0,12.89,8.0
SUP_032,2024-01-03,alimentaire,2,2.0,3.04,28.0
SUP_074,2024-01-03,alimentaire,10,10.0,3.16,21.0
SUP_014,2024-01-03,non_alimentaire,17,17.0,14.48,6.0
SUP_046,2024-01-03,non_alimentaire,7,9.0,14.33,13.0
SUP_076,2024-01-03,non_alimentaire,14,15.0,12.15,3.0
SUP_014,2024-01-03,non_alimentaire,7,,14.95,13.0
SUP_076,2024-01-03,alimentaire,2,0.0,2.83,6.0
SUP_067,2024-01-03,logistique,12,12.0,33.24,7.0
SUP_018,2024-01-03,logistique,10,12.0,7.96,21.0
SUP_041,2024-01-03,non_alimentaire,18,18.0,14.52,7.0
SUP_057,2024-01-03,alimentaire,7,7.0,3.13,8.0
SUP_028,2024-01-03,alimentaire,5,5.0,2.98,10.0
SUP_032,2024-01-03,logistique,12,12.0,8.04,11.0
SUP_025,2024-01-03,alimentaire,6,6.0,3.02,6.0
SUP_036,2024-01-03,non_alimentaire,14,16.0,14.21,15.0
SUP_016,2024-01-03,alimentaire,3,3.0,2.95,7.0
SUP_040,2024-01-03,logistique,15,,8.03,24.0
SUP_025,2024-01-03,alimentaire,2,3.0,,9.0
SUP_017,2024-01-03,non_alimentaire,9,9.0,14.73,10.0
SUP_041,2024-01-03,alimentaire,2,2.0,2.72,7.0
SUP_012,2024-01-04,alimentaire,5,5.0,3.84,9.0
SUP_021,2024-01-04,non_alimentaire,20,20.0,15.19,5.0
SUP_080,2024-01-04,non_alimentaire,17,18.0,15.09,12.0
SUP_018,2024-01-04,non_alimentaire,5,3.0,14.32,6.0
SUP_076,2024-01-04,non_alimentaire,18,17.0,13.89,1.0
SUP_072,2024-01-04,alimentaire,8,8.0,2.97,10.0
SUP_045,2024-01-04,non_alimentaire,18,18.0,14.77,6.0
SUP_040,2024-01-04,logistique,10,10.0,8.43,12.0
SUP_003,2024-01-04,alimentaire,6,6.0,2.93,6.0
SUP_054,2024-01-04,non_alimentaire,5,5.0,14.34,6.0
SUP_037,2024-01-04,alimentaire,10,10.0,2.85,14.0
SUP_064,2024-01-04,alimentaire,10,10.0,2.99,2.0
SUP_009,2024-01-04,alimentaire,5,5.0,3.15,19.0
SUP_027,2024-01-04,non_alimentaire,15,15.0,14.43,7.0
SUP_031,2024-01-04,logistique,3,3.0,8.85,23.0
SUP_048,2024-01-04,alimentaire,2,2.0,3.03,15.0
SUP_028,2024-01-04,non_alimentaire,8,8.0,14.42,6.0
SUP_050,2024-01-04,non_alimentaire,10,9.0,14.41,11.0
SUP_010,2024-01-04,alimentaire,9,9.0,2.86,25.0
SUP_010,2024-01-04,alimentaire,10,10.0,3.66,2.0
SUP_051,2024-01-04,logistique,15,,7.3,8.0
SUP_033,2024-01-04,non_alimentaire,9,10.0,15.22,7.0
SUP_001,2024-01-04,alimentaire,7,7.0,3.06,8.0
SUP_049,2024-01-04,non_alimentaire,13,14.0,,23.0
SUP_077,2024-01-04,logistique,5,9.0,7.17,23.0
SUP_067,2024-01-04,non_alimentaire,6,6.0,14.43,6.0
SUP_077,2024-01-04,logistique,5,9.0,7.17,23.0
SUP_015,2024-01-05,non_alimentaire,12,12.0,14.17,5.0
